geneId	gene	disease	diseaseName
217	ALDH2	C0001969	Alcohol use disorders
125	ADH1B	C0001969	Alcohol use disorders
10327	AKR1A1	C0001969	Alcohol use disorders
126	ADH1C	C0001969	Alcohol use disorders
2908	NR3C1	C0001969	Alcohol use disorders
4524	MTHFR	C0001969	Alcohol use disorders
216	ALDH1A1	C0001969	Alcohol use disorders
1815	DRD4	C0001969	Alcohol use disorders
7157	TP53	C0001969	Alcohol use disorders
6648	SOD2	C0001969	Alcohol use disorders
4548	MTR	C0001969	Alcohol use disorders
4988	OPRM1	C0001969	Alcohol use disorders
5444	PON1	C0001969	Alcohol use disorders
590	BCHE	C0001969	Alcohol use disorders
5970	RELA	C0001969	Alcohol use disorders
5972	REN	C0001969	Alcohol use disorders
8864	PER2	C0001969	Alcohol use disorders
627	BDNF	C0001969	Alcohol use disorders
6532	SLC6A4	C0001969	Alcohol use disorders
6480	ST6GAL1	C0001969	Alcohol use disorders
4353	MPO	C0001969	Alcohol use disorders
1103	CHAT	C0001969	Alcohol use disorders
1351	COX8A	C0001969	Alcohol use disorders
1974	EIF4A2	C0001969	Alcohol use disorders
2534	FYN	C0001969	Alcohol use disorders
2554	GABRA1	C0001969	Alcohol use disorders
2897	GRIK1	C0001969	Alcohol use disorders
3308	HSPA4	C0001969	Alcohol use disorders
3479	IGF1	C0001969	Alcohol use disorders
3576	CXCL8	C0001969	Alcohol use disorders
3606	IL18	C0001969	Alcohol use disorders
3929	LBP	C0001969	Alcohol use disorders
4306	NR3C2	C0001969	Alcohol use disorders
930	CD19	C0001969	Alcohol use disorders
217	ALDH2	C0001973	Alcohol use disorders
125	ADH1B	C0001973	Alcohol use disorders
6532	SLC6A4	C0001973	Alcohol use disorders
126	ADH1C	C0001973	Alcohol use disorders
2555	GABRA2	C0001973	Alcohol use disorders
1571	CYP2E1	C0001973	Alcohol use disorders
4988	OPRM1	C0001973	Alcohol use disorders
3356	HTR2A	C0001973	Alcohol use disorders
4852	NPY	C0001973	Alcohol use disorders
2566	GABRG2	C0001973	Alcohol use disorders
1138	CHRNA5	C0001973	Alcohol use disorders
1136	CHRNA3	C0001973	Alcohol use disorders
886	CCKAR	C0001973	Alcohol use disorders
6870	TACR3	C0001973	Alcohol use disorders
6622	SNCA	C0001973	Alcohol use disorders
6869	TACR1	C0001973	Alcohol use disorders
4887	NPY2R	C0001973	Alcohol use disorders
5173	PDYN	C0001973	Alcohol use disorders
2550	GABBR1	C0001973	Alcohol use disorders
5726	TAS2R38	C0001973	Alcohol use disorders
6462	SHBG	C0001973	Alcohol use disorders
1813	DRD2	C0001973	Alcohol use disorders
2030	SLC29A1	C0001973	Alcohol use disorders
5179	PENK	C0001973	Alcohol use disorders
3066	HDAC2	C0001973	Alcohol use disorders
1312	COMT	C0001973	Alcohol use disorders
6531	SLC6A3	C0001973	Alcohol use disorders
4128	MAOA	C0001973	Alcohol use disorders
1815	DRD4	C0001973	Alcohol use disorders
2904	GRIN2B	C0001973	Alcohol use disorders
3351	HTR1B	C0001973	Alcohol use disorders
4524	MTHFR	C0001973	Alcohol use disorders
255239	ANKK1	C0001973	Alcohol use disorders
10327	AKR1A1	C0001973	Alcohol use disorders
127	ADH4	C0001973	Alcohol use disorders
348	APOE	C0001973	Alcohol use disorders
2559	GABRA6	C0001973	Alcohol use disorders
2944	GSTM1	C0001973	Alcohol use disorders
627	BDNF	C0001973	Alcohol use disorders
3350	HTR1A	C0001973	Alcohol use disorders
1812	DRD1	C0001973	Alcohol use disorders
2562	GABRB3	C0001973	Alcohol use disorders
1814	DRD3	C0001973	Alcohol use disorders
216	ALDH1A1	C0001973	Alcohol use disorders
4790	NFKB1	C0001973	Alcohol use disorders
131	ADH7	C0001973	Alcohol use disorders
5443	POMC	C0001973	Alcohol use disorders
2902	GRIN1	C0001973	Alcohol use disorders
2554	GABRA1	C0001973	Alcohol use disorders
1143	CHRNB4	C0001973	Alcohol use disorders
124	ADH1A	C0001973	Alcohol use disorders
1636	ACE	C0001973	Alcohol use disorders
2899	GRIK3	C0001973	Alcohol use disorders
128	ADH5	C0001973	Alcohol use disorders
2561	GABRB2	C0001973	Alcohol use disorders
1129	CHRM2	C0001973	Alcohol use disorders
1621	DBH	C0001973	Alcohol use disorders
4986	OPRK1	C0001973	Alcohol use disorders
2693	GHSR	C0001973	Alcohol use disorders
7166	TPH1	C0001973	Alcohol use disorders
