Code	Description
F32	Major depressive disorder, single episode
F30.9	Manic episode, unspecified
F32.0	Major depressive disorder, single episode, mild
F32.1	Major depressive disorder, single episode, moderate
F32.2	Major depressive disorder, single episode, severe without psychotic features
F32.3	Major depressive disorder, single episode, severe with psychotic features
F32.4	Major depressive disorder, single episode, in partial remission
F32.5	Major depressive disorder, single episode, in full remission
F31.1	Bipolar disorder, current episode manic without psychotic features
F31.2	Bipolar disorder, current episode manic severe with psychotic features
F31.3	Bipolar disorder, current episode depressed, mild or moderate severity
F31.4	Bipolar disorder, current episode depressed, severe, without psychotic features
F31.11	Bipolar disorder, current episode manic without psychotic features, mild
F31.62	Bipolar disorder, current episode mixed, moderate
F31.64	Bipolar disorder, current episode mixed, severe, with psychotic features
F31.72	Bipolar disorder, in full remission, most recent episode hypomanic
F31.76	Bipolar disorder, in full remission, most recent episode depressed
F31.77	Bipolar disorder, in partial remission, most recent episode mixed
